t,S_mean,E_mean,I_mean,R_mean
401,3526.6666666666665,330.3333333333333,668.6666666666666,15474.333333333334
402,3517.3333333333335,340.6666666666667,666.3333333333334,15475.666666666666
403,3534.3333333333335,330.6666666666667,666.3333333333334,15468.666666666666
404,3547.3333333333335,323.0,663.3333333333334,15466.333333333334
405,3570.3333333333335,315.0,654.3333333333334,15460.333333333334
406,3580.6666666666665,308.0,644.6666666666666,15466.666666666666
407,3600.0,305.0,642.0,15453.0
408,3611.3333333333335,312.0,636.3333333333334,15440.333333333334
409,3621.0,302.0,642.3333333333334,15434.666666666666
410,3640.0,297.3333333333333,637.3333333333334,15425.333333333334
411,3650.3333333333335,310.0,634.0,15405.666666666666
412,3665.3333333333335,300.0,638.6666666666666,15396.0
413,3658.6666666666665,313.0,639.0,15389.333333333334
414,3667.3333333333335,309.0,649.0,15374.666666666666
415,3677.6666666666665,311.0,661.3333333333334,15350.0
416,3684.6666666666665,324.3333333333333,646.6666666666666,15344.333333333334
417,3678.0,332.6666666666667,636.6666666666666,15352.666666666666
418,3667.6666666666665,340.3333333333333,654.3333333333334,15337.666666666666
419,3677.6666666666665,328.3333333333333,661.6666666666666,15332.333333333334
420,3673.3333333333335,329.6666666666667,667.3333333333334,15329.666666666666
421,3678.6666666666665,324.3333333333333,668.0,15329.0
422,3669.3333333333335,330.6666666666667,663.3333333333334,15336.666666666666
423,3662.6666666666665,335.6666666666667,665.3333333333334,15336.333333333334
424,3646.0,357.0,657.3333333333334,15339.666666666666
425,3639.6666666666665,360.3333333333333,663.3333333333334,15336.666666666666
426,3637.6666666666665,345.3333333333333,674.3333333333334,15342.666666666666
427,3640.3333333333335,339.3333333333333,675.0,15345.333333333334
428,3631.3333333333335,336.0,675.0,15357.666666666666
429,3628.0,335.3333333333333,684.0,15352.666666666666
430,3614.6666666666665,345.6666666666667,683.0,15356.666666666666
431,3627.3333333333335,332.0,693.3333333333334,15347.333333333334
432,3635.3333333333335,327.3333333333333,703.6666666666666,15333.666666666666
433,3644.6666666666665,326.3333333333333,693.3333333333334,15335.666666666666
434,3639.0,326.3333333333333,701.0,15333.666666666666
435,3624.0,329.6666666666667,693.3333333333334,15353.0
436,3620.0,344.0,689.6666666666666,15346.333333333334
437,3633.3333333333335,326.0,697.6666666666666,15343.0
438,3625.6666666666665,334.6666666666667,690.0,15349.666666666666
439,3624.6666666666665,336.3333333333333,684.0,15355.0
440,3609.6666666666665,341.0,682.6666666666666,15366.666666666666
441,3615.6666666666665,341.3333333333333,682.0,15361.0
442,3621.6666666666665,340.3333333333333,682.3333333333334,15355.666666666666
443,3627.6666666666665,349.6666666666667,678.0,15344.666666666666
444,3629.0,339.3333333333333,694.3333333333334,15337.333333333334
445,3621.0,340.3333333333333,694.0,15344.666666666666
446,3624.6666666666665,337.6666666666667,697.0,15340.666666666666
447,3622.6666666666665,339.3333333333333,693.0,15345.0
448,3608.3333333333335,341.3333333333333,688.3333333333334,15362.0
449,3608.6666666666665,334.6666666666667,700.3333333333334,15356.333333333334
450,3596.3333333333335,343.0,702.6666666666666,15358.0
451,3592.6666666666665,346.0,694.0,15367.333333333334
452,3596.3333333333335,324.0,704.3333333333334,15375.333333333334
453,3599.0,326.3333333333333,698.6666666666666,15376.0
454,3584.0,325.6666666666667,701.3333333333334,15389.0
455,3578.6666666666665,324.0,700.0,15397.333333333334
456,3578.0,334.0,684.6666666666666,15403.333333333334
457,3579.0,326.3333333333333,682.0,15412.666666666666
458,3582.0,322.6666666666667,690.6666666666666,15404.666666666666
459,3583.0,322.0,684.3333333333334,15410.666666666666
460,3583.3333333333335,320.3333333333333,669.3333333333334,15427.0
461,3586.0,310.6666666666667,664.3333333333334,15439.0
462,3582.3333333333335,317.0,662.3333333333334,15438.333333333334
463,3580.6666666666665,317.6666666666667,664.3333333333334,15437.333333333334
464,3585.3333333333335,311.3333333333333,676.0,15427.333333333334
465,3594.3333333333335,309.6666666666667,664.0,15432.0
466,3592.6666666666665,322.0,654.3333333333334,15431.0
467,3593.3333333333335,324.3333333333333,652.0,15430.333333333334
468,3594.0,318.6666666666667,645.6666666666666,15441.666666666666
469,3616.3333333333335,300.0,651.0,15432.666666666666
