t,S_mean,E_mean,I_mean,R_mean
343,3684.0,355.6666666666667,767.0,15193.333333333334
344,3676.3333333333335,358.3333333333333,762.3333333333334,15203.0
345,3680.3333333333335,370.6666666666667,742.0,15207.0
346,3672.6666666666665,358.0,754.0,15215.333333333334
347,3662.6666666666665,343.3333333333333,764.6666666666666,15229.333333333334
348,3666.3333333333335,344.6666666666667,764.6666666666666,15224.333333333334
349,3650.0,351.0,759.3333333333334,15239.666666666666
350,3637.6666666666665,370.6666666666667,749.3333333333334,15242.333333333334
351,3626.3333333333335,377.3333333333333,747.3333333333334,15249.0
352,3609.3333333333335,366.6666666666667,755.6666666666666,15268.333333333334
353,3603.0,366.0,747.3333333333334,15283.666666666666
354,3593.6666666666665,367.6666666666667,751.0,15287.666666666666
355,3576.3333333333335,383.0,740.0,15300.666666666666
356,3566.3333333333335,369.6666666666667,752.3333333333334,15311.666666666666
357,3566.3333333333335,359.3333333333333,743.3333333333334,15331.0
358,3550.0,359.6666666666667,752.6666666666666,15337.666666666666
359,3547.3333333333335,360.6666666666667,739.3333333333334,15352.666666666666
360,3530.0,363.6666666666667,744.3333333333334,15362.0
361,3523.0,376.3333333333333,728.3333333333334,15372.333333333334
362,3523.6666666666665,362.3333333333333,742.0,15372.0
363,3519.6666666666665,358.0,751.0,15371.333333333334
364,3519.3333333333335,355.0,742.6666666666666,15383.0
365,3514.6666666666665,356.3333333333333,734.3333333333334,15394.666666666666
366,3509.0,340.6666666666667,733.3333333333334,15417.0
367,3492.3333333333335,354.0,726.0,15427.666666666666
368,3492.6666666666665,364.0,717.0,15426.333333333334
369,3491.6666666666665,362.0,714.0,15432.333333333334
370,3498.0,348.0,728.3333333333334,15425.666666666666
371,3495.3333333333335,353.6666666666667,723.3333333333334,15427.666666666666
372,3495.6666666666665,337.0,743.3333333333334,15424.0
373,3493.0,346.6666666666667,739.6666666666666,15420.666666666666
374,3488.3333333333335,356.0,732.3333333333334,15423.333333333334
375,3496.6666666666665,345.6666666666667,740.0,15417.666666666666
376,3492.3333333333335,346.6666666666667,736.3333333333334,15424.666666666666
377,3483.3333333333335,343.3333333333333,733.0,15440.333333333334
378,3495.0,336.3333333333333,729.0,15439.666666666666
379,3486.6666666666665,331.6666666666667,739.6666666666666,15442.0
380,3479.6666666666665,333.6666666666667,732.0,15454.666666666666
381,3488.3333333333335,335.3333333333333,737.6666666666666,15438.666666666666
382,3475.0,339.6666666666667,736.0,15449.333333333334
383,3480.0,339.3333333333333,727.3333333333334,15453.333333333334
384,3478.6666666666665,331.3333333333333,733.0,15457.0
385,3477.0,340.3333333333333,721.0,15461.666666666666
386,3462.0,339.3333333333333,721.0,15477.666666666666
387,3458.6666666666665,337.0,717.6666666666666,15486.666666666666
388,3446.3333333333335,340.6666666666667,717.3333333333334,15495.666666666666
389,3450.0,344.6666666666667,707.6666666666666,15497.666666666666
390,3444.6666666666665,340.3333333333333,723.3333333333334,15491.666666666666
391,3452.6666666666665,330.3333333333333,719.3333333333334,15497.666666666666
392,3457.0,328.6666666666667,711.0,15503.333333333334
393,3472.0,316.3333333333333,706.6666666666666,15505.0
394,3480.3333333333335,314.0,691.3333333333334,15514.333333333334
395,3487.6666666666665,316.0,681.3333333333334,15515.0
396,3498.6666666666665,309.6666666666667,685.0,15506.666666666666
397,3508.6666666666665,314.6666666666667,672.3333333333334,15504.333333333334
398,3518.3333333333335,313.0,662.6666666666666,15506.0
399,3517.3333333333335,316.6666666666667,654.3333333333334,15511.666666666666
400,3510.3333333333335,316.0,660.6666666666666,15513.0
401,3522.3333333333335,315.3333333333333,659.6666666666666,15502.666666666666
402,3545.3333333333335,304.6666666666667,659.6666666666666,15490.333333333334
403,3555.0,305.6666666666667,649.0,15490.333333333334
404,3551.0,299.6666666666667,650.6666666666666,15498.666666666666
405,3568.0,290.6666666666667,645.3333333333334,15496.0
406,3567.3333333333335,291.6666666666667,641.0,15500.0
407,3585.3333333333335,291.3333333333333,636.3333333333334,15487.0
408,3614.3333333333335,290.3333333333333,631.0,15464.333333333334
409,3619.3333333333335,298.6666666666667,633.6666666666666,15448.333333333334
410,3640.3333333333335,295.6666666666667,636.0,15428.0
411,3648.6666666666665,310.3333333333333,621.0,15420.0
412,3653.0,312.0,627.6666666666666,15407.333333333334
413,3663.0,309.3333333333333,635.0,15392.666666666666
414,3676.0,311.3333333333333,632.0,15380.666666666666
415,3681.6666666666665,310.0,636.3333333333334,15372.0
416,3685.3333333333335,307.0,648.0,15359.666666666666
417,3690.0,319.3333333333333,637.3333333333334,15353.333333333334
418,3696.0,329.3333333333333,642.6666666666666,15332.0
419,3687.6666666666665,334.6666666666667,649.0,15328.666666666666
420,3686.0,326.3333333333333,649.0,15338.666666666666
421,3682.0,331.3333333333333,647.0,15339.666666666666
422,3691.0,318.6666666666667,646.6666666666666,15343.666666666666
423,3700.3333333333335,315.0,650.0,15334.666666666666
424,3689.3333333333335,321.6666666666667,649.3333333333334,15339.666666666666
425,3701.0,326.0,645.3333333333334,15327.666666666666
426,3707.6666666666665,323.0,662.6666666666666,15306.666666666666
427,3699.6666666666665,329.3333333333333,660.3333333333334,15310.666666666666
428,3696.6666666666665,328.0,663.6666666666666,15311.666666666666
429,3695.0,319.3333333333333,664.6666666666666,15321.0
430,3696.0,325.0,669.0,15310.0
431,3691.6666666666665,335.0,664.0,15309.333333333334
432,3696.0,337.3333333333333,655.6666666666666,15311.0
433,3690.0,327.3333333333333,673.0,15309.666666666666
434,3695.3333333333335,323.6666666666667,672.0,15309.0
435,3685.3333333333335,333.6666666666667,669.6666666666666,15311.333333333334
436,3690.0,339.6666666666667,673.6666666666666,15296.666666666666
437,3690.3333333333335,333.6666666666667,679.3333333333334,15296.666666666666
438,3684.6666666666665,339.0,676.3333333333334,15300.0
439,3687.3333333333335,334.3333333333333,680.6666666666666,15297.666666666666
440,3681.0,334.3333333333333,682.3333333333334,15302.333333333334
441,3675.0,350.6666666666667,669.0,15305.333333333334
442,3667.6666666666665,356.0,673.3333333333334,15303.0
443,3668.0,343.6666666666667,678.6666666666666,15309.666666666666
444,3661.0,353.3333333333333,676.0,15309.666666666666
445,3649.3333333333335,349.0,693.0,15308.666666666666
446,3649.3333333333335,351.3333333333333,690.6666666666666,15308.666666666666
447,3628.3333333333335,349.6666666666667,696.6666666666666,15325.333333333334
448,3624.0,353.0,698.0,15325.0
449,3637.0,339.3333333333333,701.3333333333334,15322.333333333334
450,3639.3333333333335,338.3333333333333,691.3333333333334,15331.0
451,3644.6666666666665,327.6666666666667,687.6666666666666,15340.0
452,3638.6666666666665,340.0,670.3333333333334,15351.0
453,3648.6666666666665,333.0,665.3333333333334,15353.0
454,3663.0,330.6666666666667,665.6666666666666,15340.666666666666
455,3668.6666666666665,342.6666666666667,663.6666666666666,15325.0
456,3675.3333333333335,334.3333333333333,673.3333333333334,15317.0
457,3667.0,342.6666666666667,670.0,15320.333333333334
458,3672.0,338.3333333333333,668.0,15321.666666666666
459,3677.6666666666665,323.6666666666667,680.3333333333334,15318.333333333334
460,3670.0,330.3333333333333,664.6666666666666,15335.0
461,3657.3333333333335,342.6666666666667,663.6666666666666,15336.333333333334
462,3667.3333333333335,332.6666666666667,675.0,15325.0
463,3680.3333333333335,325.0,669.3333333333334,15325.333333333334
464,3683.0,322.3333333333333,674.3333333333334,15320.333333333334
465,3673.6666666666665,324.3333333333333,679.3333333333334,15322.666666666666
466,3680.6666666666665,324.6666666666667,670.3333333333334,15324.333333333334
467,3675.3333333333335,323.6666666666667,677.0,15324.0
468,3676.0,322.0,670.0,15332.0
469,3670.6666666666665,322.0,675.3333333333334,15332.0
470,3662.6666666666665,328.6666666666667,678.0,15330.666666666666
471,3653.3333333333335,326.6666666666667,684.6666666666666,15335.333333333334
472,3639.3333333333335,325.6666666666667,686.6666666666666,15348.333333333334
473,3623.6666666666665,335.3333333333333,683.6666666666666,15357.333333333334
474,3614.3333333333335,332.6666666666667,694.6666666666666,15358.333333333334
475,3618.3333333333335,323.0,703.6666666666666,15355.0
476,3610.6666666666665,328.6666666666667,711.3333333333334,15349.333333333334
477,3614.3333333333335,324.0,707.3333333333334,15354.333333333334
478,3600.3333333333335,335.0,705.0,15359.666666666666
479,3582.3333333333335,349.0,704.6666666666666,15364.0
480,3578.6666666666665,341.6666666666667,712.0,15367.666666666666
481,3559.3333333333335,344.3333333333333,720.3333333333334,15376.0
482,3555.3333333333335,340.0,726.0,15378.666666666666
483,3559.3333333333335,326.0,723.3333333333334,15391.333333333334
484,3566.0,328.6666666666667,714.0,15391.333333333334
485,3557.0,334.6666666666667,705.0,15403.333333333334
486,3547.3333333333335,341.0,714.0,15397.666666666666
487,3552.6666666666665,349.3333333333333,698.6666666666666,15399.333333333334
488,3565.3333333333335,347.6666666666667,690.6666666666666,15396.333333333334
489,3565.6666666666665,334.6666666666667,696.0,15403.666666666666
490,3562.6666666666665,327.0,701.3333333333334,15409.0
491,3555.3333333333335,319.0,703.6666666666666,15422.0
492,3540.6666666666665,334.6666666666667,691.0,15433.666666666666
493,3544.3333333333335,335.6666666666667,688.3333333333334,15431.666666666666
494,3540.6666666666665,343.0,686.6666666666666,15429.666666666666
495,3539.3333333333335,330.3333333333333,688.3333333333334,15442.0
496,3546.3333333333335,332.3333333333333,677.3333333333334,15444.0
